"BodyAccMean_X" "BodyAccMean_Y" "BodyAccMean_Z" "GravityAccMean_X" "GravityAccMean_Y" "GravityAccMean_Z" "BodyGyroMean_X" "BodyGyroMean_Y" "BodyGyroMean_Z" "BodyAccStd_X" "BodyAccStd_Y" "BodyAccStd_Z" "GravityAccStd_X" "GravityAccStd_Y" "GravityAccStd_Z" "BodyGyroStd_X" "BodyGyroStd_Y" "BodyGyroStd_Z" "VolunteerID" "ActivityDescr"
0.25717778 -0.02328523 -0.014653762 0.93648925 -0.28271916 0.11528825 0.11997616 -0.091792335 0.18962854 -0.938404 -0.92009078 -0.66768331 -0.92542727 -0.93701413 -0.56428842 -0.88308911 -0.8161636 -0.94088123 2 "STANDING"
0.28602671 -0.013163359 -0.11908252 0.92740359 -0.28921515 0.15256831 -0.0015524629 -0.18729119 0.18070522 -0.97541469 -0.9674579 -0.94495817 -0.98905711 -0.9838872 -0.96478113 -0.92556647 -0.9295992 -0.96758097 2 "STANDING"
0.27548482 -0.02605042 -0.11815167 0.92991503 -0.28751284 0.14608559 -0.048212671 -0.16627974 0.15417437 -0.99381904 -0.96992551 -0.96274798 -0.9959365 -0.98825055 -0.98157964 -0.97298823 -0.97851062 -0.97564834 2 "STANDING"
0.27029822 -0.032613869 -0.11752018 0.92888137 -0.29339576 0.14292592 -0.056641577 -0.12601846 0.11833718 -0.99474279 -0.97326761 -0.96709068 -0.99313918 -0.97041923 -0.99159167 -0.96779046 -0.9751338 -0.9632327 2 "STANDING"
0.27483295 -0.027847788 -0.12952716 0.92659966 -0.30296094 0.13830674 -0.059992128 -0.08472343 0.078659262 -0.99385248 -0.96744548 -0.97829499 -0.99557462 -0.97096035 -0.96808532 -0.97465605 -0.97795105 -0.96762872 2 "STANDING"
0.27921995 -0.018620399 -0.11390197 0.92566317 -0.30893973 0.1305608 -0.039697949 -0.066828493 0.070547316 -0.99445523 -0.97041688 -0.96531629 -0.99884225 -0.99073872 -0.97123186 -0.97987841 -0.97646279 -0.96346168 2 "STANDING"
0.27974586 -0.018271026 -0.10399988 0.92613663 -0.30956386 0.12856658 -0.03287449 -0.065186851 0.080700108 -0.99581919 -0.97635361 -0.97772468 -0.9974362 -0.99656801 -0.98820362 -0.98963172 -0.9838623 -0.97276516 2 "STANDING"
0.27460055 -0.02503513 -0.11683085 0.92658621 -0.3107735 0.12958012 -0.028869854 -0.068346001 0.087116675 -0.99559442 -0.98206892 -0.98526237 -0.99739076 -0.98755709 -0.98979864 -0.99434551 -0.99243952 -0.98984746 2 "STANDING"
0.27252874 -0.020954013 -0.11447249 0.92555526 -0.31573741 0.12642607 -0.024364328 -0.066695221 0.077032498 -0.99678413 -0.97590627 -0.98659699 -0.99514632 -0.98097747 -0.98127764 -0.99678549 -0.99530106 -0.99298656 2 "STANDING"
0.2757457 -0.010371994 -0.09977589 0.92417336 -0.3175966 0.1245839 -0.022462359 -0.068363863 0.076694399 -0.99837313 -0.98693291 -0.9910219 -0.99800172 -0.98939331 -0.99196835 -0.99639305 -0.99343897 -0.99089631 2 "STANDING"
